Row-names,Symbol,Moon-Earth___log2FoldChange,Moon-Earth___padj,data
AT2G21790,RNR1,-0.941292522,0.006439085,
AT5G64580,FTSHI4,-0.932219494,0.006439085,
AT5G53550,YSL3,1.015359669,0.006439085,
AT1G21410,SKP2A,1.268731009,0.006439085,
AT3G49130,,2.930721057,0.006439085,
AT1G48330,,-1.448651505,0.006469345,
AT1G52770,,-1.245178408,0.006469345,
AT3G61780,emb1703,-0.704465312,0.006469345,
AT2G19520,MSI4,-0.361815767,0.006469345,
AT5G27330,,-1.140879564,0.006478867,
AT4G10310,HKT1,-2.38654728,0.006485646,
AT4G20010,OSB2,-0.358829699,0.006485646,
AT3G60210,CPN10-1,-0.972284082,0.006487546,
AT5G04885,,-0.788985957,0.006509986,
AT2G33400,,-1.384592641,0.006511553,
AT1G12770,RH47,-0.749538829,0.006511553,
AT5G27230,FRL5,-0.976506737,0.006584524,
AT3G17680,,-1.423699235,0.006591391,
AT1G08260,POL2A,-0.724393622,0.00659696,
AT1G66520,pde194,-1.043289124,0.006604083,
AT5G23070,TK1B,-0.68698226,0.006604083,
AT1G19740,,-0.562666659,0.006604083,
AT2G31840,MRL7L,-0.570215241,0.006610829,
AT1G62225,,2.413487757,0.006610829,
AT1G15480,,-0.674496364,0.006620205,
AT5G19750,,-1.122553858,0.006633714,
AT3G51290,,-1.551940341,0.006672377,
AT5G55830,LECRKS7,-1.631201621,0.006770185,
AT5G51100,FSD2,-1.017269878,0.006770185,
AT1G70070,ISE2,-0.7786649,0.006782053,
AT1G29230,CIPK18,1.186894958,0.006782053,
AT4G31210,,-1.010098535,0.006821359,
AT1G64490,,0.624271466,0.006821359,
AT3G24420,,-1.358667775,0.006854841,
AT5G38290,,-0.876080868,0.006854841,
AT3G18940,,-0.514648517,0.006854841,
AT1G23100,,-1.658445113,0.006865681,
AT2G02100,PDF2.2,-1.422023116,0.006871249,
AT3G50970,XERO2,-1.076170542,0.006878481,
AT5G03870,,-1.31941949,0.006990866,
AT3G48250,,-0.747101771,0.006994394,
AT4G02800,,-1.515512405,0.007000513,
